Company,ISIN,Ticker,Sector,currency,currentPrice,dividendRate,dividendYield,firstDividendDate,lastDividendDate,lastDividendValue,lastPriceWithDividend
FLUGHAFEN ZUERICH N,FHZN.SW,FHZN.SW,Industrials,CHF,173.5,3.5,0.0202,2001-05-08,2023-04-26,3.5,170.9
FORBO N,FORN.SW,FORN.SW,Industrials,CHF,1140.0,23.0,0.0202,1996-04-26,2023-04-04,23.0,1299.0
Fundamenta Real Estate N,FREN.SW,FREN.SW,Real Estate,CHF,16.5,0.55,0.033299997,2019-04-24,2023-04-11,0.55,16.05
GALENICA SANTE N,GALE.SW,GALE.SW,Healthcare,CHF,69.1,2.2,0.0318,2018-05-14,2023-05-05,2.2,77.1
GIVAUDAN N,GIVN.SW,GIVN.SW,Basic Materials,CHF,2849.0,67.0,0.0235,2001-05-23,2023-03-27,67.0,2877.0
GEBERIT N,GEBN.SW,GEBN.SW,Industrials,CHF,443.2,12.6,0.028399998,2000-05-23,2023-04-21,12.6,489.6
GLARNER KB N,GLKBN.SW,GLKBN.SW,Financial Services,CHF,23.9,1.1,0.046,2015-04-28,2023-05-03,1.1,25.7
GMSA N,GMI.SW,GMI.SW,Consumer Defensive,CHF,280.0,15.0,0.053600002,2002-06-24,2023-05-19,15.0,295.0
HIAG IMMOBILIEN N,HIAG.SW,HIAG.SW,Real Estate,CHF,76.4,2.9,0.038,2015-04-27,2023-05-02,2.9,80.1
HELVETIA HOLDING N,HELN.SW,HELN.SW,Financial Services,CHF,131.7,5.9,0.0448,1997-06-19,2023-05-03,5.9,124.5
HUBER+SUHNER N,HUBN.SW,HUBN.SW,Technology,CHF,65.1,2.1,0.0323,1996-06-03,2023-03-31,2.1,76.7
HYPO LENZB N,HBLN.SW,HBLN.SW,Financial Services,CHF,4200.0,115.0,0.0274,1996-03-20,2023-03-21,115.0,4265.0
IMPLENIA N,IMPN.SW,IMPN.SW,Industrials,CHF,33.25,0.4,0.012,2012-04-11,2023-03-30,0.4,35.2
INFICON N,IFCN.SW,IFCN.SW,Technology,CHF,1040.0,18.0,0.0176,2006-05-09,2023-04-04,18.0,951.0
INTERROLL N,INRN.SW,INRN.SW,Industrials,CHF,2675.0,32.0,0.012,2011-05-17,2023-05-16,32.0,3163.0
INVESTIS N,IREN.SW,IREN.SW,Real Estate,CHF,93.2,2.5,0.026800001,2017-05-02,2023-05-05,2.5,99.0
INTERSHOP N,ISN.SW,ISN.SW,Real Estate,CHF,603.0,25.0,0.041500002,2004-05-07,2023-04-03,25.0,641.0
JULIUS BAER N,BAER.SW,BAER.SW,Financial Services,CHF,59.06,2.6,0.044,2010-04-12,2023-04-17,2.6,61.86
IVF HARTMANN N,VBSN.SW,VBSN.SW,Healthcare,CHF,111.0,2.5,0.0225,1995-04-26,2023-04-27,2.5,114.5
JUNGFRAUBAHN HLD N,JFN.SW,JFN.SW,Industrials,CHF,156.0,3.6,0.0231,1997-06-20,2023-05-17,3.6,149.4
KARDEX N,KARN.SW,KARN.SW,Industrials,CHF,201.0,3.5,0.0174,2013-04-29,2023-04-24,3.5,201.0
KLINGELNBERG N,KLIN.SW,KLIN.SW,Industrials,CHF,18.7,0.4,0.0214,2019-08-29,2023-08-24,0.4,18.55
KOMAX N,KOMN.SW,KOMN.SW,Industrials,CHF,207.0,5.5,0.026400002,1998-06-03,2023-04-14,5.5,233.5
KUEHNE+NAGEL INT N,KNIN.SW,KNIN.SW,Industrials,CHF,264.4,14.0,0.0533,2002-05-21,2023-05-11,14.0,259.5
LALIQUE GROUP N,LLQ.SW,LLQ.SW,Consumer Cyclical,CHF,36.8,0.5,0.0136,2019-05-27,2023-06-05,0.5,36.1
Landis+Gyr N,LAND.SW,LAND.SW,Industrials,CHF,64.25,2.2,0.0341,2018-07-02,2023-06-26,2.2,74.95
LEM N,LEHN.SW,LEHN.SW,Industrials,CHF,1926.0,52.0,0.027,2000-09-21,2023-07-04,52.0,2203.0
LEONTEQ N,LEON.SW,LEON.SW,Financial Services,CHF,39.4,4.0,0.1015,2013-04-29,2023-04-03,4.0,47.0
LIECHT LANDBK N,LLBN.SW,LLBN.SW,Financial Services,CHF,60.6,2.5,0.041300002,1997-05-28,2023-05-09,2.5,60.9
LINDT N,LISN.SW,LISN.SW,Consumer Defensive,CHF,101600.0,1300.0,0.0128,1995-04-24,2023-04-24,1300.0,110900.0
LOGITECH N,LOGN.SW,LOGN.SW,Technology,CHF,59.1,1.06,0.0179,2005-06-30,2022-09-26,0.9621,43.558
LONZA N,LONN.SW,LONN.SW,Healthcare,CHF,473.3,3.5,0.0074,2000-06-16,2023-05-09,3.5,574.7
LILLY ELI,LLY.SW,LLY.SW,Healthcare,CHF,482.0,3.97,0.0082,1998-08-12,2023-08-14,3.3899999999999997,436.87
MEDACTA GROUP N,MOVE.SW,MOVE.SW,Healthcare,CHF,124.0,0.27,0.0022,2022-05-23,2023-05-02,0.27,119.53
MOBILEZONE N,MOZN.SW,MOZN.SW,Consumer Cyclical,CHF,13.56,0.9,0.0664,2006-04-20,2023-04-12,0.9,13.74
METALL ZUG AG,METN.SW,METN.SW,Industrials,CHF,1445.0,30.0,0.0208,2008-05-26,2023-05-03,30.0,1835.0
NEBAG N,NBEN.SW,NBEN.SW,Financial Services,CHF,7.85,0.58,0.0739,2011-05-02,2023-05-24,0.58,8.37
MIKRON N,MIKN.SW,MIKN.SW,Industrials,CHF,12.85,0.4,0.032,1998-07-01,2023-04-28,0.4,11.5
NESTLE N,NESN.SW,NESN.SW,Consumer Defensive,CHF,106.24,2.95,0.0278,2001-06-11,2023-04-24,2.95,113.35
NOVARTIS N,NOVN.SW,NOVN.SW,Healthcare,CHF,89.72,3.2,0.0357,1997-04-25,2023-03-09,3.2,75.4
O FUESSLI N,OFN.SW,OFN.SW,Industrials,CHF,73.4,3.4,0.0463,1996-05-13,2023-05-12,3.4,75.6
