Company,Ticker
FIDELITY CHINA SPEC. SITUATION PLC ORD 1P,FCSS.L
WORKSPACE GROUP PLC ORD GBP1,WKP.L
BLOOMSBURY PUBLISHING PLC ORD 1.25P,BMY.L
HENDERSON FAR EAST INCOME LD ORD NPV,HFEL.L
GLOBAL OPPORTUNITIES TRUST PLC ORD 1P,GOT.L
INVESTEC PLC ORD GBP0.0002,INVP.L
JPMORGAN US SMALLER CO. INV TST PLC ORD 2.5P,JUSC.L
MONEYSUPERMARKET.COM GROUP PLC ORD 0.02P,MONY.L
WICKES GROUP PLC ORD GBP0.10,WIX.L
ABRDN EQUITY INCOME TRUST PLC ORD 25P,AEI.L
REACH PLC ORD 10P,RCH.L
INDIA CAPITAL GROWTH FUND LD ORD 1P,IGC.L
DRAX GROUP PLC ORD 11 16/29P,DRX.L
ROLLS-ROYCE HOLDINGS PLC ORD SHS 20P,RR..L
INTERNATIONAL BIOTECHNOLOGY TST PLC ORD 25P,IBT.L
STV GROUP PLC ORD 50P,STVG.L
FORESIGHT GROUP HOLDINGS LIMITED ORD NPV,FSG.L
HENDERSON EUROPEAN FOCUS TRUST PLC ORD 5P,HEFT.L
LOOKERS PLC ORD  5P,LOOK.L
KIN AND CARTA PLC ORD 10P,KCT.L
SECURE TRUST BANK PLC ORD 40P,STB.L
ADMIRAL GROUP PLC ORD 0.1P,ADM.L
BABCOCK INTERNATIONAL GROUP PLC ORD 60P,BAB.L
JUPITER FUND MANAGEMENT PLC ORD 2P,JUP.L
COMPUTACENTER PLC ORD 7 5/9P,CCC.L
HERALD INV TST PLC ORD 25P,HRI.L
ASIA DRAGON TRUST PLC ORD 20P,DGN.L
GAMES WORKSHOP GROUP PLC ORD 5P,GAW.L
TRITAX EUROBOX PLC ORD EUR0.01 (GBP),EBOX.L
ROBERT WALTERS PLC ORD 20P,RWA.L
CAPITAL GEARING TRUST PLC ORD 25P,CGT.L
INCHCAPE PLC ORD 10P,INCH.L
ROTORK PLC ORD 0.5P,ROR.L
DE LA RUE PLC ORD 44 152/175P,DLAR.L
TYMAN PLC ORD 5P,TYMN.L
JPMORGAN GLOBAL CORE REAL ASSETS LI ORD NPV,JARA.L
HIPGNOSIS SONGS FUND LD ORD NPV,SONG.L
ASSOCIATED BRITISH FOODS PLC ORD 5 15/22P,ABF.L
SHELL PLC ORD EUR0.07,SHEL.L
MIDDLEFIELD CANADIAN INC PCC RED PART PREF SHS NPV,MCT.L
PPHE HOTEL GROUP LD ORD NPV,PPH.L
WAREHOUSE REIT PLC ORD 1P,WHR.L
COCA-COLA HBC AG ORD CHF6.70 (CDI),CCH.L
RELX PLC ORD 14 51/116P,REL.L
SSE PLC ORD 50P,SSE.L
