Company,Ticker
SCHRODERS PLC ORD 20P,SDR.L
MURRAY INCOME TRUST PLC ORD 25P,MUT.L
SSP GROUP PLC ORD 1 17/200P,SSPG.L
CLOSE BROS GROUP PLC ORD 25P,CBG.L
BROWN ADVISORY US SMALLER CO'S PLC ORD 25P,BASC.L
PRIMARY HEALTH PROPERTIES PLC ORD 12.5P,PHP.L
FISHER(JAMES)& SONS PLC ORD 25P,FSJ.L
RECORD PLC ORD 0.025P,REC.L
BLACKROCK WORLD MINING TRUST PLC ORD 5P,BRWM.L
VALUE AND INDEXED PROP INC TRUST ORD 10P,VIP.L
PHAROS ENERGY PLC ORD 5P,PHAR.L
THE GYM GROUP PLC ORD 0.01P,GYM.L
TR PROPERTY INV TST PLC ORD 25P,TRY.L
AUTO TRADER GROUP PLC ORD 1P,AUTO.L
INVESCO BOND INCOME PLUS LIMITED ORD NPV,BIPS.L
HARGREAVES LANSDOWN PLC ORD 0.4P,HL..L
KELLER GROUP PLC ORD 10P,KLR.L
RIT CAPITAL PARTNERS PLC ORD £1,RCP.L
XP POWER LD ORD 1P (DI),XPP.L
BALTIC CLASSIFIEDS GROUP PLC ORD GBP0.01,BCG.L
BLACKROCK GREATER EURO INV TST PLC ORD 0.1P,BRGE.L
SCHRODERS CAPITAL GLOBAL INNOVATION ORD 1P,INOV.L
FORTERRA PLC ORD 1P,FORT.L
CLS HOLDINGS PLC ORD 2.5P,CLI.L
SCOTTISH MORTGAGE INV TST PLC ORD 5P,SMT.L
BAILLIE GIFFORD JAPAN TRUST PLC ORD 5P,BGFD.L
VIRGIN MONEY UK PLC ORD GBP0.10,VMUK.L
ITV PLC ORD 10P,ITV.L
EUROPEAN OPPORTUNITIES TRUST PLC ORD 1P,EOT.L
JPMORGAN CHINA GROWTH & INCOME PLC ORD 25P,JCGI.L
TRIPLE POINT SOCIAL HOUSING REIT PL ORD 1P,SOHO.L
NEXTENERGY SOLAR FUND LIMITED RED ORD NPV,NESF.L
MERCANTILE INVESTMENT TST (THE) PLC ORD 2.5P,MRC.L
SPEEDY HIRE PLC ORD 5P,SDY.L
INDIVIOR PLC ORD USD0.50,INDV.L
"FULLER,SMITH & TURNER PLC 'A' ORD 40P",FSTA.L
TAYLOR WIMPEY PLC ORD 1P,TW..L
BLACKROCK THROGMORTON TRUST PLC ORD 5P,THRG.L
PRS REIT (THE) PLC ORD 1P,PRSR.L
TWENTYFOUR INCOME FUND LIMITED ORD RED 1P,TFIF.L
DISCOVERIE GROUP PLC ORD 5P,DSCV.L
FUNDING CIRCLE HOLDINGS PLC ORD 0.1P,FCH.L
LIONTRUST ASSET MANAGEMENT PLC ORD 1P,LIO.L
BIG YELLOW GROUP PLC ORD 10P,BYG.L
CHRYSALIS INVESTMENTS LIMITED ORD NPV,CHRY.L
SPIRE HEALTHCARE GROUP PLC ORD 1P,SPI.L
BAILLIE GIFFORD CHINA GRWTH TST PLC ORD 25P,BGCG.L
SABRE INSURANCE GROUP PLC ORD GBP0.001P,SBRE.L
JTC PLC ORD GBP0.01,JTC.L
OCADO GROUP PLC ORD 2P,OCDO.L
BALANCED COMMERCIAL PROPERTY TRUST ORD 1P,BCPT.L
RESTAURANT GROUP PLC ORD 28 1/8P,RTN.L
AURORA INV TST PLC ORD 25P,ARR.L
CLARKSON PLC ORD 25P,CKN.L
GREAT PORTLAND ESTATES PLC ORD 15 5/19P,GPE.L
FORESIGHT SUST. FORESTRY COMP PLC ORD GBP0.01,FSF.L
VIDENDUM PLC ORD 20P,VID.L
JOHNSON MATTHEY PLC ORD 110 49/53P,JMAT.L
POLAR CAPITAL TECHNOLOGY TRUST PLC ORD 25P,PCT.L
SPIRENT COMMUNICATIONS PLC ORD 3 1/3P,SPT.L
888 HOLDINGS PLC ORD 0.5P (DI),888.L
VISTRY GROUP PLC ORD 50P,VTY.L
PRUDENTIAL PLC ORD 5P,PRU.L
MOONPIG GROUP PLC ORD 10P,MOON.L
HAMMERSON PLC ORD 5P,HMSO.L
INTEGRAFIN HOLDINGS PLC ORD 1P,IHP.L
AVON PROTECTION PLC ORD #1,AVON.L
POD POINT GROUP HOLDINGS PLC ORD GBP0.001,PODP.L
INTL CONSOLIDATED AIRLINES GROUP SA ORD EUR0.10 (CDI),IAG.L
PURETECH HEALTH PLC ORD 1P,PRTC.L
SYNCONA LIMITED ORD NPV,SYNC.L
VICTREX PLC ORD 1P,VCT.L
MAN GROUP PLC ORD USD0.0342857142,EMG.L
PLUS500 LTD ORD ILS0.01 (DI),PLUS.L
GRAINGER PLC ORD 5P,GRI.L
ALLIANZ TECHNOLOGY TRUST PLC ORD 2.5P,ATT.L
ABRDN PRIVATE EQUITY OPP TRUST PLC ORD 0.2P,APEO.L
DERWENT LONDON PLC ORD 5P,DLN.L
ASCENTIAL PLC ORD 1P,ASCL.L
VIETNAM ENTERPRISE INVESTMENTS LIMI ORD USD0.01 (DI),VEIL.L
RANK GROUP PLC ORD 13 8/9P,RNK.L
HALFORDS GROUP PLC ORD 1P,HFD.L
OSB GROUP PLC ORD 1P,OSB.L
ITHACA ENERGY PLC ORD 1P,ITH.L
MITCHELLS & BUTLERS PLC ORD 8 13/24P,MAB.L
SHAFTESBURY CAPITAL PLC ORD 25P,SHC.L
OCEAN WILSONS HOLDINGS LD ORD 20P,OCN.L
CURRYS PLC ORD 0.1P,CURY.L
CAPITA PLC ORD 2 1/15P,CPI.L
FRESNILLO PLC ORD USD0.50,FRES.L
ON THE BEACH GROUP PLC ORD 1P,OTB.L
SCHRODER EUROPEAN REIT PLC ORD GBP0.10,SERE.L
WH SMITH PLC ORD 22 6/67P,SMWH.L
PETROFAC LD ORD USD0.02,PFC.L
HEADLAM GROUP PLC ORD 5P,HEAD.L
CARD FACTORY PLC ORD 1P,CARD.L
SYNTHOMER PLC ORD 10P,SYNT.L
VANQUIS BANKING GROUP PLC ORD  20 8/11P,VANQ.L
WIZZ AIR HOLDINGS PLC. ORD GBP0.0001,WIZZ.L
HOCHSCHILD MINING PLC ORD 1P,HOC.L
MOBICO GROUP PLC ORD 5P,MCG.L
CAPITAL & REGIONAL PLC ORD 10P,CAL.L
CENTAMIN PLC ORD NPV (DI),CEY.L
TI FLUID SYSTEMS PLC ORD 1P,TIFS.L
EASYJET PLC ORD 27 2/7P,EZJ.L
DIRECT LINE INSURANCE GROUP PLC ORD 10 10/11P,DLG.L
ENDEAVOUR MINING PLC ORD USD0.01,EDV.L
PENNON GROUP PLC ORD 61 1/20P,PNN.L
TUI AG ORD REG SHS NPV (DI),TUI.L
ODYSSEAN INVESTMENT TRUST PLC ORD 1P,OIT.L
SUPERDRY PLC ORD 5P,SDRY.L
REGIONAL REIT LD ORD NPV,RGL.L
HUNTING PLC ORD 25P,HTG.L
COATS GROUP PLC ORD 5P,COA.L
PETRA DIAMONDS LD ORD GBP0.0005 (DI),PDL.L
HARWORTH GROUP PLC ORD 10P,HWG.L
CAPRICORN ENERGY PLC ORD 490/143P,CNE.L
CMC MARKETS PLC ORD 25P,CMCX.L
WATCHES OF SWITZERLAND GROUP PLC ORD GBP0.0125,WOSG.L
BRAEMAR PLC ORD 10P,BMS.L
