Company Name,Codice ISIN
TECHNOPROBE,IT0005482333
TELECOM ITALIA,IT0003497168
TENARIS,LU0156801721
TERNA,IT0003242622
TESMEC,IT0004585243
TESSELLIS,IT0005496473
THE ITALIAN SEA GROUP,IT0005439085
TINEXTA,IT0005037210
TOD'S,IT0003007728
TOSCANA AEROPORTI,IT0000214293
TREVI FIN IND,IT0005422768
TRIBOO,IT0005001554
TXT E-SOLUTIONS,IT0001454435
UNICREDIT,IT0005239360
UNIDATA,IT0005338840
UNIEURO,IT0005239881
UNIPOL,IT0004810054
UNIPOLSAI,IT0004827447
VALSOIA,IT0001018362
VIANINI,IT0003127898
WEBUILD,IT0003865570
WIIT,IT0005440893
ZIGNAGO VETRO,IT0004171440
ZUCCHI,IT0005395071
