Company,ISIN,Ticker,Sector,currency,currentPrice,dividendRate,dividendYield,dividendYieldAPI,longestYieldStrike,yearTimePeriod,yieldCounter,yieldRatio,firstDividendDate,lastDividendDate,lastDividendValue,lastPriceWithDividend
Banca Sistema,IT0003173629,BST.MI,Financial Services,EUR,1.21,0.07,5.57,0.0557,6,6,6,100.0,2016-05-09,2023-05-08,0.065,1.2249999046325684
Inwit,IT0005090300,INW.MI,Real Estate,EUR,11.27,0.35,3.14,0.031400003,6,6,6,100.0,2016-05-23,2023-05-22,0.3467,11.708300590515137
Luve,IT0005107492,LUVE.MI,Industrials,EUR,26.15,0.38,1.44,0.014400001,6,6,6,100.0,2016-05-09,2023-05-08,0.38,28.81999969482422
Ferrari,NL0011585146,RACE,Consumer Cyclical,USD,312.79,2.0,0.64,0.0064,6,6,6,100.0,2016-05-23,2023-04-24,1.989,276.0409851074219
Italgas,IT0005211237,IG.MI,Utilities,EUR,5.155,0.32,6.2,0.062,5,5,5,100.0,2017-05-22,2023-05-22,0.317,5.4730000495910645
Equita Group,IT0005312027,EQUI.MI,Financial Services,EUR,3.68,0.3,8.22,0.082200006,4,4,4,100.0,2018-05-07,2023-05-22,0.4,3.7799999713897705
Neodecortech,IT0005275778,NDT.MI,Basic Materials,EUR,3.26,0.14,4.31,0.0431,4,4,4,100.0,2018-05-28,2023-05-22,0.14,2.9799997806549072
Orsero,IT0005138703,ORS.MI,Consumer Defensive,EUR,12.48,0.35,2.79,0.0279,4,4,4,100.0,2018-05-07,2023-05-08,0.35,12.25
Wiit,IT0005440893,WIIT.MI,Technology,EUR,17.28,0.3,1.74,0.0174,4,4,4,100.0,2018-05-07,2023-05-08,0.3,19.850000381469727
Pharmanutra,IT0005274094,PHN.MI,Healthcare,EUR,55.4,0.8,1.47,0.0147,4,4,4,100.0,2018-05-07,2023-05-08,0.8,51.10000228881836
Openjobmetis,IT0003683528,OJM.MI,Industrials,EUR,9.4,0.5,5.47,0.0547,3,3,3,100.0,2019-05-03,2023-05-08,0.5,9.550000190734863
Pirelli & C,IT0005278236,PIRC.MI,Consumer Cyclical,EUR,4.5,0.22,4.84,0.0484,3,3,3,100.0,2019-05-20,2023-07-24,0.218,4.622000217437744
Fine Foods & Pharmaceuticals Ntm,IT0005215329,FF.MI,Consumer Defensive,EUR,8.07,0.1,1.25,0.0125,3,3,3,100.0,2019-05-03,2023-05-22,0.1,7.300000190734863
Carel Industries,IT0005331019,CRL.MI,Technology,EUR,25.2,0.18,0.7,0.0069999998,3,3,3,100.0,2019-06-24,2023-06-19,0.18,27.969999313354492
Salcef Group,IT0005388266,SCF.MI,Industrials,EUR,24.3,0.5,2.07,0.0207,2,2,2,100.0,2020-05-18,2023-05-15,0.5,21.149999618530273
Sanlorenzo,IT0003549422,SL.MI,Consumer Cyclical,EUR,36.55,0.66,1.8,0.018,1,1,1,100.0,2021-04-26,2023-05-02,0.66,39.9900016784668
Saes Getters,IT0001029492,SG.MI,Technology,EUR,28.25,0.55,1.95,0.0195,14,27,26,96.29629629629629,1995-06-15,2023-05-08,0.55,27.999998092651367
Brembo,IT0005252728,BRE.MI,Consumer Cyclical,EUR,12.62,0.28,2.2,0.022,23,26,25,96.15384615384616,1996-05-06,2023-05-22,0.28,14.15999984741211
Emak,IT0001237053,EM.MI,Industrials,EUR,1.076,0.07,6.17,0.0617,20,23,22,95.65217391304348,1999-06-21,2023-06-05,0.065,1.0429999828338623
Unicredit,IT0005239360,UCG.MI,Financial Services,EUR,21.565,0.99,4.48,0.0448,11,22,21,95.45454545454545,2000-05-22,2023-04-24,0.9872,18.540800094604492
Esprinet,IT0003850929,PRT.MI,Technology,EUR,5.37,0.54,10.37,0.1037,17,20,19,95.0,2002-04-29,2023-04-24,0.54,8.135000228881836
Intesa Sanpaolo,IT0000072618,ISP.MI,Financial Services,EUR,2.458,0.24,9.89,0.098900005,12,20,19,95.0,2002-05-20,2023-05-22,0.0901,2.3264000415802
Cairo Communication,IT0004329733,CAI.MI,Communication Services,EUR,1.652,0.14,8.64,0.0864,17,20,19,95.0,2002-02-11,2023-05-29,0.14,1.7400000095367432
Bca Pop Sondrio,IT0000784196,BPSO.MI,Financial Services,EUR,4.234,0.28,6.61,0.0661,17,20,19,95.0,2002-03-11,2023-05-22,0.28,3.8919999599456787
Datalogic,IT0004053440,DAL.MI,Technology,EUR,6.17,0.3,4.9,0.049000002,11,20,19,95.0,2002-05-27,2023-05-22,0.3,6.735000133514404
Amplifon,IT0004056880,AMP.MI,Healthcare,EUR,30.31,0.29,0.97,0.0097,12,20,19,95.0,2002-05-06,2023-05-22,0.29,33.93000030517578
Mediobanca,IT0000062957,MB.MI,Financial Services,EUR,11.92,0.85,7.16,0.0716,24,34,32,94.11764705882352,1988-11-17,2022-11-21,0.75,9.425000190734863
Igd,IT0005322612,IGD.MI,Real Estate,EUR,2.295,0.3,13.13,0.1313,15,17,16,94.11764705882352,2005-05-16,2023-05-08,0.3,2.5899999141693115
Azimut,IT0003261697,AZM.MI,Financial Services,EUR,20.77,1.3,6.3,0.063,15,17,16,94.11764705882352,2005-05-20,2023-05-22,1.3,19.15999984741211
Piaggio,IT0003073266,PIA.MI,Consumer Cyclical,EUR,3.45,0.25,7.2,0.072,7,15,14,93.33333333333333,2007-05-21,2023-04-24,0.1,3.869999885559082
Ascopiave,IT0004093263,ASC.MI,Utilities,EUR,2.13,0.13,6.15,0.0615,9,15,14,93.33333333333333,2007-05-14,2023-05-02,0.13,2.7799999713897705
Autostrade Merid,IT0000084043,AUTME.MI,Industrials,EUR,15.4,3.5,23.03,0.23030001,16,26,24,92.3076923076923,1996-04-09,2023-04-24,3.5,19.899999618530273
Interpump Group,IT0001078911,IP.MI,Industrials,EUR,45.5,0.3,0.67,0.0067000003,11,25,23,92.0,1997-05-19,2023-05-22,0.3,53.84000015258789
