Nome,ISIN,Categoria
Piquadro,IT0004240443,Prodotti per casa e persona
Pirelli & C,IT0005278236,Automobili
Plc,IT0005339160,Edilizia e materiali
Poste Italiane,IT0003796171,Assicurazioni
Prysmian,IT0004176001,Prodotti e servizi industriali
Rai Way,IT0005054967,Telecomunicazioni
Ratti,IT0004724107,Materie prime
Rcs Mediagroup,IT0004931496,Media
Recordati Ord,IT0003828271,Salute
Reply,IT0005282865,Tecnologie
Restart,IT0005349052,Beni Immobili
Risanamento,IT0001402269,Beni Immobili
S.S. Lazio,IT0003621783,Viaggi e tempo libero
Sabaf,IT0001042610,Tecnologie
Saes Getters,IT0001029492,Prodotti e servizi industriali
Safilo Group,IT0004604762,Prodotti per casa e persona
Saipem,IT0005495657,Petrolio e Gas Naturale
Salcef Group,IT0005388266,Prodotti e servizi industriali
Salvatore Ferragamo,IT0004712375,Prodotti per casa e persona
Sanlorenzo,IT0003549422,Prodotti per casa e persona
Saras,IT0000433307,Petrolio e Gas Naturale
Seco,IT0005438046,Tecnologie
Seri Industrial,IT0005283640,Prodotti e servizi industriali
Servizi Italia,IT0003814537,Prodotti e servizi industriali
Sesa,IT0004729759,Tecnologie
Sit,IT0005262149,Edilizia e materiali
Snam,IT0003153415,Petrolio e Gas Naturale
Softlab,IT0001469953,-
Sogefi,IT0000076536,-
Sol,IT0001206769,Chimica
Somec,IT0005329815,Edilizia e materiali
Stellantis,NL00150001Q9,Automobili
Stmicroelectronics,NL0000226223,Tecnologie
Tamburi,IT0003153621,Servizi finanziari
Technogym,IT0005162406,Prodotti per casa e persona
Telecom Italia,IT0003497168,Telecomunicazioni
Tenaris,LU0156801721,Petrolio e Gas Naturale
Terna,IT0003242622,Servizi pubblici
Tesmec,IT0004585243,Prodotti e servizi industriali
Tessellis,IT0005496473,Telecomunicazioni
The Italian Sea Group,IT0005439085,Prodotti per casa e persona
Tinexta,IT0005037210,Servizi finanziari
Tod's,IT0003007728,Prodotti per casa e persona
Trevi Fin Ind,IT0005422768,-
Triboo,IT0005001554,Media
Txt E-Solutions,IT0001454435,Tecnologie
Unicredit,IT0005239360,Banche
Unieuro,IT0005239881,Commercio
Unipol,IT0004810054,Assicurazioni
Unipolsai,IT0004827447,Assicurazioni
Valsoia,IT0001018362,Alimentari
Webuild,IT0003865570,Edilizia e materiali
Wiit,IT0005440893,Tecnologie
Zignago Vetro,IT0004171440,Prodotti e servizi industriali
Zucchi,IT0005395071,Prodotti per casa e persona
