Company,Ticker,Sector
Neodecortech,NDT.MI,Basic Materials
Netweek,NTW.MI,Communication Services
Next Re,NR.MI,Real Estate
Notorious Pictures,NPI.MI,Communication Services
Openjobmetis,OJM.MI,Industrials
Orsero,ORS.MI,Consumer Defensive
Ovs,OVS.MI,Consumer Cyclical
Pattern,PTR.MI,Consumer Cyclical
Pharmanutra,PHN.MI,Healthcare
Piaggio,PIA.MI,Consumer Cyclical
Pininfarina Spa,PINF.MI,Consumer Cyclical
Piovan,PVN.MI,Industrials
Piquadro,PQ.MI,Consumer Cyclical
Pirelli & Co,PIRC.MI,Consumer Cyclical
Piteco,PITE.MI,Technology
Plc,PLC.MI,Industrials
Poligrafici Printing,POPR.MI,Communication Services
Poste Italiane,PST.MI,Industrials
Prysmian,PRY.MI,Industrials
Rai Way,RWAY.MI,Industrials
Ratti,RAT.MI,Consumer Cyclical
Rcs Mediagroup,RCS.MI,Communication Services
Recordati Industria Chimica E Farm,REC.MI,Healthcare
Reply,REY.MI,Technology
Restart,RST.MI,Real Estate
Risanamento,RN.MI,Real Estate
Rosetti Marino,YRM.MI,Industrials
Sabaf,SAB.MI,Industrials
Saes Getters Risp Nc,SGR.MI,Technology
Safilo Group,SFL.MI,Healthcare
Saipem,SPM.MI,Energy
Salcef Group,SCF.MI,Industrials
Salvatore Ferragamo,SFER.MI,Consumer Cyclical
Saras,SRS.MI,Energy
Seri Industrial,SERI.MI,Utilities
Servizi Italia,SRI.MI,Industrials
Sesa,SES.MI,Technology
Sit,SIT.MI,Industrials
Snam,SRG.MI,Utilities
Softlab,SOF.MI,Communication Services
Sol,SOL.MI,Basic Materials
Somec,SOM.MI,Industrials
Stellantis,STLA.MI,Consumer Cyclical
Stmicroelectronics,STM.MI,Technology
Tamburi,TIP.MI,Financial Services
Tas,TAS.MI,Technology
Technogym,TGYM.MI,Consumer Cyclical
Telecom Italia R,TITR.MI,Communication Services
Telecom Italia,TIT.MI,Communication Services
Tenaris Sa,TEN.MI,Energy
Terna Rete Elettrica Nazionale,TRN.MI,Utilities
Tesmec,TES.MI,Industrials
Tim Group,TIT.MI,Communication Services
Tinexta,TNXT.MI,Technology
Tod S,TOD.MI,Consumer Cyclical
Toscana Aeroporti,TYA.MI,Industrials
Trawell Co,TWL.MI,Industrials
Trevi Fin Ind,TFI.MI,Industrials
Triboo,TB.MI,Communication Services
Txt E-solutions,TXT.MI,Technology
Unicredit,UCG.MI,Financial Services
Unieuro,UNIR.MI,Consumer Cyclical
Unipol Gruppo Finanziario,UNI.MI,Financial Services
Valsoia,VLS.MI,Consumer Defensive
Vianini,VIA.MI,Real Estate
Visibilia Editore,VE.MI,Industrials
Zignago Vetro,ZV.MI,Consumer Cyclical
Zucchi,ZUC.MI,Consumer Cyclical
